City,Country,Venue,Opening_Act,Revenue,Tour,Tickets_Sold,Tickets_Available,Attendance_Rate,Opening_Act_Count
Montreal,Canada,Bell Centre,Vance Joy,1499040.0,The_1989_World_Tour,14770.0,14770.0,1.0,1
East Rutherford,United States,MetLife Stadium,"Vance Joy, Shawn Mendes, Haim",13423858.0,The_1989_World_Tour,110105.0,110105.0,1.0,3
Washington,United States,Nationals Park,"Vance Joy, Shawn Mendes, Haim",9730596.0,The_1989_World_Tour,85014.0,85014.0,1.0,3
Chicago,United States,Soldier Field,"Vance Joy, Shawn Mendes, Haim",11469887.0,The_1989_World_Tour,110109.0,110109.0,1.0,3
Foxborough,United States,Gillette Stadium,"Vance Joy, Shawn Mendes, Haim",12533166.0,The_1989_World_Tour,116849.0,116849.0,1.0,3
Vancouver,Canada,BC Place,"Vance Joy, Shawn Mendes",4081820.0,The_1989_World_Tour,41463.0,41463.0,1.0,2
Edmonton,Canada,Rexall Place,Vance Joy,2387080.0,The_1989_World_Tour,26534.0,26534.0,1.0,1
Seattle,United States,CenturyLink Field,"Vance Joy, Shawn Mendes",6050643.0,The_1989_World_Tour,55711.0,55711.0,1.0,2
Santa Clara,United States,Levi's Stadium,"Vance Joy, Shawn Mendes",13031146.0,The_1989_World_Tour,102139.0,102139.0,1.0,2
Glendale,United States,Gila River Arena,Vance Joy,3029628.0,The_1989_World_Tour,26520.0,26520.0,1.0,1
Los Angeles,United States,Staples Center,"Vance Joy, Haim",8961681.0,The_1989_World_Tour,70563.0,70563.0,1.0,2
San Diego,United States,Petco Park,"Vance Joy, Shawn Mendes",5475237.0,The_1989_World_Tour,44710.0,44710.0,1.0,2
Salt Lake City,United States,EnergySolutions Arena,Vance Joy,1589686.0,The_1989_World_Tour,14131.0,14131.0,1.0,1
Denver,United States,Pepsi Center,Vance Joy,2868991.0,The_1989_World_Tour,27126.0,27126.0,1.0,1
Houston,United States,Minute Maid Park,"Vance Joy, Shawn Mendes",5202196.0,The_1989_World_Tour,40122.0,40122.0,1.0,2
Saint Paul,United States,Xcel Energy Center,Vance Joy,5514863.0,The_1989_World_Tour,45126.0,45126.0,1.0,1
Indianapolis,United States,Bankers Life Fieldhouse,Vance Joy,1550268.0,The_1989_World_Tour,14010.0,14010.0,1.0,1
Columbus,United States,Nationwide Arena,Vance Joy,3369693.0,The_1989_World_Tour,29936.0,29936.0,1.0,1
Kansas City,United States,Sprint Center,Vance Joy,2967558.0,The_1989_World_Tour,27857.0,27857.0,1.0,1
Nashville,United States,Bridgestone Arena,"Vance Joy, Haim",3354844.0,The_1989_World_Tour,28917.0,28917.0,1.0,2
St. Louis,United States,Scottrade Center,"Vance Joy, Haim",3452940.0,The_1989_World_Tour,29688.0,29688.0,1.0,2
Toronto,Canada,Rogers Centre,"Vance Joy, Shawn Mendes",8670990.0,The_1989_World_Tour,99283.0,99283.0,1.0,2
Des Moines,United States,Wells Fargo Arena,Vance Joy,1566321.0,The_1989_World_Tour,13969.0,13969.0,1.0,1
Omaha,United States,CenturyLink Center Omaha,Vance Joy,3121421.0,The_1989_World_Tour,29622.0,29622.0,1.0,1
Fargo,United States,Fargodome,Vance Joy,2219188.0,The_1989_World_Tour,21067.0,21067.0,1.0,1
Arlington,United States,AT&T Stadium,"Vance Joy, Shawn Mendes",7396733.0,The_1989_World_Tour,62630.0,62630.0,1.0,2
Lexington,United States,Rupp Arena,Vance Joy,1870471.0,The_1989_World_Tour,17084.0,17084.0,1.0,1
Greensboro,United States,Greensboro Coliseum,Vance Joy,1662171.0,The_1989_World_Tour,15079.0,15079.0,1.0,1
Atlanta,United States,Georgia Dome,"Vance Joy, Shawn Mendes",6034846.0,The_1989_World_Tour,56046.0,56046.0,1.0,2
Miami,United States,American Airlines Arena,Vance Joy,1527919.0,The_1989_World_Tour,14044.0,14044.0,1.0,1
Tampa,United States,Raymond James Stadium,"Vance Joy, Shawn Mendes",6202515.0,The_1989_World_Tour,56987.0,56987.0,1.0,2
Singapore,Singapore,Singapore Indoor Stadium,Unknown,3217569.0,The_1989_World_Tour,17726.0,17726.0,1.0,1
Shanghai,China,Mercedes-Benz Arena,Unknown,5917348.0,The_1989_World_Tour,37758.0,37758.0,1.0,1
Sydney,Australia,ANZ Stadium,Vance Joy,6571683.0,The_1989_World_Tour,75980.0,75980.0,1.0,1
Brisbane,Australia,Suncorp Stadium,Vance Joy,4759471.0,The_1989_World_Tour,46881.0,46881.0,1.0,1
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,2407499.0,The_1989_World_Tour,20090.0,20090.0,1.0,1
Melbourne,Australia,AAMI Park,Vance Joy,10421553.0,The_1989_World_Tour,98136.0,98136.0,1.0,1
Glendale,United States,University of Phoenix Stadium,"Camila Cabello, Charli XCX",7214478.0,Reputation_Stadium_Tour,59157.0,59157.0,1.0,2
Santa Clara,United States,Levi's Stadium,"Camila Cabello, Charli XCX",14006963.0,Reputation_Stadium_Tour,107550.0,107550.0,1.0,2
Pasadena,United States,Rose Bowl,"Camila Cabello, Charli XCX",16251980.0,Reputation_Stadium_Tour,118084.0,118084.0,1.0,2
Seattle,United States,CenturyLink Field,Charli XCX,8672219.0,Reputation_Stadium_Tour,56021.0,56021.0,1.0,1
Denver,United States,Sports Authority Field at Mile High,"Camila Cabello, Charli XCX",7926366.0,Reputation_Stadium_Tour,57140.0,57140.0,1.0,2
Chicago,United States,Soldier Field,"Camila Cabello, Charli XCX",14576697.0,Reputation_Stadium_Tour,105208.0,105208.0,1.0,2
Manchester,England,Etihad Stadium,"Camila Cabello, Charli XCX",6169724.0,Reputation_Stadium_Tour,77258.0,77258.0,1.0,2
Dublin,Ireland,Croke Park,"Camila Cabello, Charli XCX",8567769.0,Reputation_Stadium_Tour,133034.0,133034.0,1.0,2
London,England,Wembley Stadium,"Camila Cabello, Charli XCX",12214933.0,Reputation_Stadium_Tour,143427.0,143427.0,1.0,2
Louisville,United States,Cardinal Stadium,"Camila Cabello, Charli XCX",4928219.0,Reputation_Stadium_Tour,52138.0,52138.0,1.0,2
Columbus,United States,Ohio Stadium,"Camila Cabello, Charli XCX",6606529.0,Reputation_Stadium_Tour,62897.0,62897.0,1.0,2
Landover,United States,FedExField,"Camila Cabello, Charli XCX",11396004.0,Reputation_Stadium_Tour,95672.0,95672.0,1.0,2
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello, Charli XCX",11951047.0,Reputation_Stadium_Tour,107378.0,107378.0,1.0,2
Cleveland,United States,FirstEnergy Stadium,"Camila Cabello, Charli XCX",5148757.0,Reputation_Stadium_Tour,51323.0,51323.0,1.0,2
East Rutherford,United States,MetLife Stadium,"Camila Cabello, Charli XCX",22031386.0,Reputation_Stadium_Tour,165654.0,165654.0,1.0,2
Foxborough,United States,Gillette Stadium,"Camila Cabello, Charli XCX",21779846.0,Reputation_Stadium_Tour,174764.0,174764.0,1.0,2
Toronto,Canada,Rogers Centre,"Camila Cabello, Charli XCX",11177000.0,Reputation_Stadium_Tour,100310.0,100310.0,1.0,2
Pittsburgh,United States,Heinz Field,"Camila Cabello, Charli XCX",6230876.0,Reputation_Stadium_Tour,56445.0,56445.0,1.0,2
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello, Charli XCX",18089415.0,Reputation_Stadium_Tour,116746.0,116746.0,1.0,2
Tampa,United States,Raymond James Stadium,"Camila Cabello, Charli XCX",7244264.0,Reputation_Stadium_Tour,55909.0,55909.0,1.0,2
Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello, Charli XCX",7072164.0,Reputation_Stadium_Tour,47818.0,47818.0,1.0,2
Nashville,United States,Nissan Stadium,"Camila Cabello, Charli XCX",9007179.0,Reputation_Stadium_Tour,56112.0,56112.0,1.0,2
Detroit,United States,Ford Field,"Camila Cabello, Charli XCX",6597852.0,Reputation_Stadium_Tour,49464.0,49464.0,1.0,2
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello, Charli XCX",10242024.0,Reputation_Stadium_Tour,98774.0,98774.0,1.0,2
Kansas City,United States,Arrowhead Stadium,"Camila Cabello, Charli XCX",6730138.0,Reputation_Stadium_Tour,58611.0,58611.0,1.0,2
Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello, Charli XCX",6531245.0,Reputation_Stadium_Tour,55729.0,55729.0,1.0,2
St. Louis,United States,The Dome at America's Center,"Camila Cabello, Charli XCX",4884054.0,Reputation_Stadium_Tour,47831.0,47831.0,1.0,2
New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello, Charli XCX",6491546.0,Reputation_Stadium_Tour,53172.0,53172.0,1.0,2
Houston,United States,NRG Stadium,"Camila Cabello, Charli XCX",9350275.0,Reputation_Stadium_Tour,53800.0,53800.0,1.0,2
Arlington,United States,AT&T Stadium,"Camila Cabello, Charli XCX",15006157.0,Reputation_Stadium_Tour,105002.0,105002.0,1.0,2
Perth,Australia,Optus Stadium,"Charli XCX, Broods",4153658.0,Reputation_Stadium_Tour,50891.0,50891.0,1.0,2
Melbourne,Australia,Marvel Stadium,"Charli XCX, Broods",6755570.0,Reputation_Stadium_Tour,63027.0,63027.0,1.0,2
Sydney,Australia,ANZ Stadium,"Charli XCX, Broods",7686564.0,Reputation_Stadium_Tour,72805.0,72805.0,1.0,2
Brisbane,Australia,The Gabba,"Charli XCX, Broods",4338127.0,Reputation_Stadium_Tour,43907.0,43907.0,1.0,2
Auckland,New Zealand,Mount Smart Stadium,"Charli XCX, Broods",3617593.0,Reputation_Stadium_Tour,35749.0,35749.0,1.0,2
Tokyo,Japan,Tokyo Dome,Charli XCX,14859847.0,Reputation_Stadium_Tour,100109.0,100109.0,1.0,1
